City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Barra Patuca,HN,2021-12-25 06:10:38,15.8,-84.2833,75.34,75,69,5.95
224,Bom Jardim,BR,2021-12-25 06:11:38,-7.7958,-35.5872,73.04,89,94,2.91
225,Pisco,PE,2021-12-25 06:05:02,-13.7,-76.2167,68.05,77,0,8.05
226,Termoli,IT,2021-12-25 06:11:39,41.9888,14.9895,55.89,75,100,16.6
227,Vila Franca Do Campo,PT,2021-12-25 06:11:39,37.7167,-25.4333,66.2,94,98,16.73
228,Harbour Breton,CA,2021-12-25 06:11:39,47.4833,-55.7983,26.01,83,100,31.68
229,Samarai,PG,2021-12-25 06:11:40,-10.6167,150.6667,84.79,73,65,13.29
230,Bengkulu,ID,2021-12-25 06:11:40,-3.8004,102.2655,84.38,71,25,10.13
231,Washington,US,2021-12-25 06:11:40,47.5001,-120.5015,25.93,84,90,3.13
232,Otavi,NA,2021-12-25 06:11:41,-19.65,17.3333,73.9,14,47,0.92
233,Jonesboro,US,2021-12-25 06:10:06,35.8423,-90.7043,66.07,72,20,18.01
234,Arona,ES,2021-12-25 06:11:41,28.0996,-16.681,62.38,76,20,5.75
235,Birjand,IR,2021-12-25 06:11:42,32.8663,59.2211,50.16,29,26,2.24
236,Ahuimanu,US,2021-12-25 06:11:42,21.4447,-157.8378,71.31,81,40,8.01
237,Shitkino,RU,2021-12-25 06:11:42,56.3703,98.3543,1.31,76,71,3.04
238,Buala,SB,2021-12-25 06:11:42,-8.145,159.5921,83.62,80,100,5.21
239,Sisimiut,GL,2021-12-25 06:11:43,66.9395,-53.6735,22.59,57,2,12.08
240,Hithadhoo,MV,2021-12-25 06:01:51,-0.6,73.0833,81.9,75,79,10.78
241,Coquimbo,CL,2021-12-25 06:11:43,-29.9533,-71.3436,61.29,89,77,4.7
242,Kirensk,RU,2021-12-25 06:11:43,57.7853,108.1119,-7.73,89,37,4.59
243,Playa Vicente,MX,2021-12-25 06:11:44,17.8333,-95.8167,62.96,95,0,4.07
244,Aranos,NA,2021-12-25 06:11:44,-24.1333,19.1167,71.38,43,0,11.5
245,Cam Ranh,VN,2021-12-25 06:11:45,11.9214,109.1591,84.16,61,20,13.8
246,Windhoek,NA,2021-12-25 06:10:53,-22.5594,17.0832,67.1,24,8,4.07
247,Calama,CL,2021-12-25 06:11:45,-22.4667,-68.9333,56.64,53,99,4.14
248,Mormugao,IN,2021-12-25 06:11:46,15.4,73.8,77.99,67,5,5.66
249,Kaduqli,SD,2021-12-25 06:11:46,11.0167,29.7167,70.63,17,7,14.12
250,Trelew,AR,2021-12-25 06:08:14,-43.249,-65.3051,66.96,39,5,5.99
251,Sumiswald,CH,2021-12-25 06:11:46,47.0275,7.7453,40.48,93,100,4.18
252,Victoria,HK,2021-12-25 06:08:15,22.2855,114.1577,75.18,76,33,1.99
253,Necochea,AR,2021-12-25 06:11:47,-38.5473,-58.7368,64.04,95,38,12.71
254,Waw,SS,2021-12-25 06:11:47,7.7029,27.9953,76.08,21,34,7.29
255,Jubbal,IN,2021-12-25 06:11:47,31.1167,77.6667,46.58,22,15,1.21
256,Estelle,US,2021-12-25 06:11:48,29.8458,-90.1067,66.99,87,1,9.22
257,Leh,IN,2021-12-25 06:11:48,34.1667,77.5833,10.65,69,66,1.92
258,Markova,UA,2021-12-25 06:11:49,48.6758,24.4138,33.39,97,82,7.9
259,Hambantota,LK,2021-12-25 06:11:49,6.1241,81.1185,82.2,56,56,13.56
260,Rio Grande,BR,2021-12-25 06:11:49,-32.035,-52.0986,62.94,76,21,12.17
261,Kuznechnoye,RU,2021-12-25 06:11:50,61.12,29.8686,2.44,98,53,3.8
262,Los Lunas,US,2021-12-25 06:11:50,34.8062,-106.7334,49.84,87,65,4.03
263,Cayenne,GF,2021-12-25 06:11:50,4.9333,-52.3333,75.24,92,90,0.0
264,Kargil,IN,2021-12-25 06:11:50,34.5667,76.1,11.44,63,86,1.14
265,Nivala,FI,2021-12-25 06:11:51,63.9167,24.9667,11.17,93,100,7.0
266,Sao Joao Da Barra,BR,2021-12-25 06:11:51,-21.6403,-41.0511,67.55,91,76,12.08
267,Sioux Lookout,CA,2021-12-25 06:11:51,50.1001,-91.917,7.18,91,100,11.1
268,Saint-Philippe,RE,2021-12-25 06:05:49,-21.3585,55.7679,85.59,84,100,2.21
269,Ca Mau,VN,2021-12-25 06:07:15,9.1769,105.15,86.16,57,54,13.13
270,Dandong,CN,2021-12-25 06:07:32,40.1292,124.3947,7.81,26,0,17.16
271,Henties Bay,NA,2021-12-25 06:11:52,-22.116,14.2845,63.86,87,10,1.66
272,Bogande,BF,2021-12-25 06:12:52,12.9714,-0.1436,69.67,20,42,8.97
273,Srednekolymsk,RU,2021-12-25 06:08:21,67.45,153.6833,-23.22,98,100,4.59
274,Lokosovo,RU,2021-12-25 06:12:53,61.1333,74.8167,-2.29,89,76,12.01
275,Abeche,TD,2021-12-25 06:12:53,13.8292,20.8324,65.68,22,11,7.94
276,Shimanovsk,RU,2021-12-25 06:12:53,52.0,127.7,-9.4,78,25,6.17
277,San Cristobal,VE,2021-12-25 06:12:53,7.7669,-72.225,65.73,92,76,1.68
278,Katangli,RU,2021-12-25 06:12:54,51.7102,143.2326,-4.45,88,100,21.88
