City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Menongue,AO,83.59,overcast clouds,-14.6585,17.691,Ritz Lauca
574,Yaan,NG,87.31,scattered clouds,7.3833,8.5667,
575,Knysna,ZA,71.98,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
576,Bandarbeyla,SO,80.02,few clouds,9.4942,50.8122,JABIR HOTEL
581,Mana,GF,76.03,overcast clouds,5.6592,-53.7767,LE SAMANA
583,Mweka,CD,78.44,light rain,-4.85,21.5667,Guest House Boshab
587,Mwingi,KE,74.91,light rain,-0.9344,38.0601,Thorn Tree by The Address
588,Soyo,AO,82.63,scattered clouds,-6.1349,12.3689,Hotel Mpampa
591,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
593,Harper,LR,81.75,overcast clouds,4.375,-7.7169,Screensaver
594,Sabalgarh,IN,75.49,clear sky,26.25,77.4,Kailadevi studio
596,Daliang,CN,72.05,clear sky,22.8504,113.247,Shunde New World Hotel
600,Teluknaga,ID,86.63,scattered clouds,-6.0989,106.6381,Bale Ocasa hotel
601,Oranjestad,AW,78.91,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
603,Nova Olimpia,BR,71.01,overcast clouds,-14.7972,-57.2881,Motel glamour
610,Pemba,MZ,88.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
613,Pauini,BR,72.43,light rain,-7.7136,-66.9764,Casa do Kiwliks
614,Saint-Pierre,RE,89.19,light rain,-21.3393,55.4781,Lindsey Hôtel
620,Wattegama,LK,85.12,clear sky,6.7989,81.4808,
622,Kralendijk,BQ,80.15,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
623,Mogadishu,SO,85.87,few clouds,2.0371,45.3438,Hotel Juba
625,Chateaubelair,VC,79.41,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
626,Bambanglipuro,ID,83.55,overcast clouds,-7.95,110.2833,Puri Brata
628,Ahuimanu,US,71.85,light rain,21.4447,-157.8378,Paradise Bay Resort
630,Ankpa,NG,87.22,few clouds,7.3706,7.6253,AA Suites
634,Grand-Santi,GF,71.47,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
640,Banjar,ID,85.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
643,Monrovia,LR,78.57,few clouds,6.3005,-10.7969,Sunset Inn
645,Kibondo,TZ,73.49,light rain,-3.5864,30.7203,Pongezi Annex Guest House
647,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
648,Chitipa,MW,88.36,overcast clouds,-9.7024,33.2697,Tulipoka Lodges
650,Wanning,CN,70.29,overcast clouds,18.8003,110.3967,Paradise Hotel
654,Kuching,MY,86.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
657,Karimnagar,IN,86.02,clear sky,18.4333,79.15,Sravanthi palace
658,Merauke,ID,83.7,broken clouds,-8.4667,140.3333,
661,Lisala,CD,85.28,moderate rain,2.15,21.5167,Flat hôtel tozelaka
662,Banda Aceh,ID,82.8,few clouds,5.5577,95.3222,Sulthan Hotel International
663,Arlit,NE,71.65,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
664,Boca Do Acre,BR,72.93,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
667,Teknaf,BD,74.79,clear sky,20.8624,92.3058,Forestry Guesthouse
670,Kedougou,SN,70.38,clear sky,12.5579,-12.1743,Relais de Kédougou
673,Albina,SR,72.12,overcast clouds,5.5,-54.05,Hudace
675,Humaita,BR,74.1,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
679,Marzuq,YE,83.16,clear sky,14.4,46.4667,
684,Amapa,BR,71.56,light rain,1.0,-52.0,
686,Balsas,BR,72.39,moderate rain,-7.5325,-46.0356,Novo Hotel
692,Redcliffe,AU,76.95,light rain,-27.2307,153.0973,Redvue Apartments
693,Sao Jose Do Belmonte,BR,74.44,overcast clouds,-7.8614,-38.7597,Pousada Pedra do Reino
696,Siparia,TT,78.08,overcast clouds,10.1333,-61.5,Brook Gardens
700,Thinadhoo,MV,81.03,broken clouds,0.5333,72.9333,
702,Labuhan,ID,85.1,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
