City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Mount Gambier,AU,-37.8333,140.7667,62.51,55,75,19.57,broken clouds
229,Palmer,US,42.1584,-72.3287,28.85,80,90,0.0,overcast clouds
230,Bemidji,US,47.4736,-94.8803,7.09,82,1,8.05,clear sky
231,Hailar,CN,49.2,119.7,-17.43,92,71,5.77,broken clouds
232,Muros,ES,42.7762,-9.0603,56.23,93,99,3.71,overcast clouds
233,Sisimiut,GL,66.9395,-53.6735,22.51,54,1,10.94,clear sky
234,Ghatal,IN,22.6667,87.7167,79.74,30,1,3.44,clear sky
235,Sambava,MG,-14.2667,50.1667,88.03,60,88,10.69,overcast clouds
236,Panzhihua,CN,26.5851,101.7128,64.9,36,31,2.8,scattered clouds
237,Tadine,NC,-21.55,167.8833,78.69,80,8,5.91,clear sky
238,Nikolskoye,RU,59.7035,30.7861,3.09,97,83,5.46,broken clouds
239,Guerrero Negro,MX,27.9769,-114.0611,59.23,81,70,9.51,broken clouds
240,Kisangani,CD,0.5167,25.2,80.96,78,40,6.91,light rain
241,Thompson,CA,55.7435,-97.8558,-18.24,76,1,10.36,clear sky
242,Cidreira,BR,-30.1811,-50.2056,68.92,80,11,14.41,few clouds
243,La Paz,BO,-16.5,-68.15,46.38,93,75,3.44,broken clouds
244,Rio Gallegos,AR,-51.6226,-69.2181,55.45,76,90,20.71,heavy intensity rain
245,Metro,ID,-5.1131,105.3067,78.93,87,100,4.34,overcast clouds
246,Te Anau,NZ,-45.4167,167.7167,51.39,82,100,4.7,overcast clouds
247,Chontalpa,MX,17.7,-93.5167,63.12,97,4,2.75,clear sky
248,Belmonte,BR,-15.8631,-38.8828,68.5,94,100,14.94,light rain
249,Kvarkeno,RU,52.0833,59.725,-1.48,94,6,6.11,clear sky
250,Kloulklubed,PW,7.0419,134.2556,82.9,77,100,17.38,overcast clouds
251,Peruibe,BR,-24.32,-46.9983,65.1,83,10,2.51,clear sky
252,Kavaratti,IN,10.5669,72.642,81.63,65,78,9.57,broken clouds
253,Seymchan,RU,62.8833,152.4333,-20.58,95,100,6.31,overcast clouds
254,Roald,NO,62.5833,6.1333,35.74,80,75,9.22,broken clouds
255,Grande Prairie,CA,55.1667,-118.8027,-23.62,76,40,11.5,scattered clouds
256,Lebu,CL,-37.6167,-73.65,55.29,93,5,18.05,clear sky
257,Bilma,NE,18.6853,12.9164,67.64,16,99,6.04,overcast clouds
258,Scicli,IT,36.7902,14.7014,60.35,82,95,10.11,overcast clouds
259,Morristown,US,36.214,-83.2949,60.94,72,90,23.02,overcast clouds
260,Dauphin,CA,51.1494,-100.0502,-5.66,65,1,23.02,clear sky
261,Sola,VU,-13.8833,167.55,81.45,77,74,6.76,broken clouds
262,Port Alberni,CA,49.2413,-124.8028,35.91,95,96,0.74,overcast clouds
263,Mount Isa,AU,-20.7333,139.5,94.77,17,40,6.91,scattered clouds
264,Laguna,US,38.421,-121.4238,51.06,84,90,1.99,overcast clouds
265,Biak,ID,-0.9131,122.8766,82.45,71,97,3.06,overcast clouds
266,Quatre Cocos,MU,-20.2078,57.7625,89.71,60,99,10.56,overcast clouds
267,Vylkove,UA,45.4021,29.586,46.08,77,45,11.12,scattered clouds
268,Partizanskoye,RU,55.5006,94.39,-2.06,90,29,2.26,scattered clouds
269,Yenagoa,NG,4.9247,6.2642,86.41,59,99,3.06,overcast clouds
270,Smithers,CA,54.7804,-127.1743,-16.28,76,1,3.44,clear sky
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.68,89,100,11.48,overcast clouds
272,Saint George,US,37.1041,-113.5841,50.25,71,1,3.0,clear sky
273,Gamba,GA,-2.65,10.0,81.7,76,15,9.28,few clouds
274,Lindi,TZ,-10.0,39.7167,92.23,47,95,9.78,overcast clouds
275,Acapulco,MX,16.8634,-99.8901,75.4,82,9,3.47,clear sky
276,Peniche,PT,39.3558,-9.3811,61.11,94,90,7.58,overcast clouds
277,Buchanan,LR,5.8808,-10.0467,78.76,78,57,1.41,broken clouds
278,San Patricio,US,28.017,-97.5169,71.46,86,2,14.67,clear sky
279,Belaya Gora,RU,68.5333,146.4167,-41.35,100,100,4.12,overcast clouds
280,Nguruka,TZ,-5.1092,31.0419,77.67,66,93,6.55,light rain
281,Cedar City,US,37.6775,-113.0619,37.18,84,1,13.8,clear sky
282,Casino,AU,-28.8667,153.05,73.22,94,62,4.61,light rain
283,Jiuquan,CN,39.7432,98.5174,17.44,63,100,10.8,overcast clouds
284,Xapuri,BR,-10.6517,-68.5044,72.39,96,50,2.46,scattered clouds
285,Byron Bay,AU,-28.65,153.6167,73.36,86,96,4.9,light rain
286,Tomatlan,MX,19.9333,-105.25,65.32,90,1,3.56,clear sky
287,Johnstown,US,40.3267,-78.922,55.45,90,90,12.66,light rain
288,Narsaq,GL,60.9167,-46.05,43.02,53,28,19.89,scattered clouds
289,Plon,DE,54.1667,10.4167,21.79,94,5,4.12,clear sky
290,Qaqortoq,GL,60.7167,-46.0333,43.3,53,36,17.92,scattered clouds
291,Margate,GB,51.3813,1.3862,47.97,96,100,4.0,overcast clouds
292,Dwarka,IN,22.2394,68.9678,76.87,64,0,9.33,clear sky
293,Ancud,CL,-41.8697,-73.8203,54.93,92,0,2.3,clear sky
294,Timbiqui,CO,2.7717,-77.6654,74.14,96,98,4.38,light rain
295,Umm Lajj,SA,25.0213,37.2685,72.99,30,8,5.99,clear sky
296,Hurricane,US,37.1753,-113.2899,48.33,84,18,4.36,few clouds
297,Avera,US,33.194,-82.5271,55.71,86,2,9.26,clear sky
298,Tiznit,MA,29.5833,-9.5,58.95,54,99,0.56,overcast clouds
299,San Quintin,MX,30.4833,-115.95,55.81,67,100,2.37,overcast clouds
300,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.58,83,86,11.63,overcast clouds
301,San Cristobal,VE,7.7669,-72.225,65.3,91,51,1.95,broken clouds
302,Porto Nacional,BR,-10.7081,-48.4172,77.0,97,100,2.24,moderate rain
303,Pahrump,US,36.2083,-115.9839,47.1,74,3,1.01,clear sky
304,Kavieng,PG,-2.5744,150.7967,84.09,78,100,8.01,overcast clouds
305,Kokopo,PG,-4.352,152.2633,81.82,80,100,6.96,overcast clouds
306,Port Hardy,CA,50.6996,-127.4199,30.2,74,90,11.5,overcast clouds
307,Panubigan,PH,7.4281,123.3466,81.36,75,100,5.12,overcast clouds
308,Zhicheng,CN,30.2956,111.5047,39.33,45,96,13.98,overcast clouds
309,Tahoua,NE,14.8888,5.2692,71.58,12,0,9.22,clear sky
310,Lata,PT,40.1629,-8.3327,56.91,94,100,6.26,light rain
311,Belyy Yar,RU,53.6039,91.3903,1.29,85,83,0.0,mist
312,Champoton,MX,19.35,-90.7167,66.58,92,5,8.9,clear sky
313,Naze,JP,28.3667,129.4833,56.32,65,63,24.61,broken clouds
314,Tabou,CI,4.423,-7.3528,81.99,73,91,4.94,overcast clouds
315,Puerto Carreno,CO,6.189,-67.4859,76.46,78,96,6.85,overcast clouds
316,Maumere,ID,-8.6199,122.2111,82.15,77,100,2.66,light rain
317,Pangai,TO,-19.8,-174.35,80.47,63,7,2.64,clear sky
318,Aksu,CN,41.1231,80.2644,34.54,33,51,7.94,broken clouds
319,Leningradskiy,RU,69.3833,178.4167,-17.12,97,100,2.84,overcast clouds
320,Paranapanema,BR,-23.3886,-48.7228,55.4,95,12,5.77,few clouds
321,Zyryanskoye,RU,56.8306,86.6258,15.76,93,100,6.98,overcast clouds
322,Luanda,AO,-8.8368,13.2343,80.6,69,40,6.91,scattered clouds
323,Kaniama,CD,-7.5667,24.1833,77.38,72,98,8.46,light rain
324,Lensk,RU,60.7253,114.9278,-2.65,86,100,11.12,overcast clouds
325,Great Falls,US,47.5002,-111.3008,7.99,83,90,4.0,light snow
326,Bonthe,SL,7.5264,-12.505,80.24,73,10,3.31,clear sky
327,Zhuhai,CN,22.2769,113.5678,71.85,73,20,8.05,few clouds
328,Kourou,GF,5.1552,-52.6478,75.25,92,93,5.75,overcast clouds
329,Omboue,GA,-1.5746,9.2618,83.37,72,46,8.19,scattered clouds
330,Iqaluit,CA,63.7506,-68.5145,10.13,78,75,15.01,broken clouds
331,Santa Isabel,BR,-23.3156,-46.2214,64.65,95,50,1.63,scattered clouds
332,Challans,FR,46.8436,-1.8749,48.4,94,100,9.19,overcast clouds
333,Bushehr,IR,28.9684,50.8385,66.22,48,99,20.0,overcast clouds
334,Puerto Maldonado,PE,-12.6,-69.1833,72.05,99,70,1.99,broken clouds
335,Maniitsoq,GL,65.4167,-52.9,28.17,46,0,5.53,clear sky
336,Bucerias,MX,20.75,-105.3333,67.98,84,0,4.72,clear sky
337,Grootfontein,NA,-19.5667,18.1167,85.57,14,1,5.75,clear sky
338,Berlevag,NO,70.8578,29.0864,27.66,86,100,22.41,light snow
339,Nagua,DO,19.3832,-69.8474,75.45,90,34,4.09,scattered clouds
340,Khomeyn,IR,33.6423,50.0789,42.85,42,3,8.1,clear sky
341,Villazon,BO,-22.0866,-65.5942,48.61,80,100,7.58,overcast clouds
342,Kidal,ML,18.4411,1.4078,71.06,14,82,17.9,broken clouds
343,Bambous Virieux,MU,-20.3428,57.7575,89.85,51,75,13.8,broken clouds
344,Plessisville,CA,46.2186,-71.762,9.73,89,100,2.1,overcast clouds
345,Moose Factory,CA,51.2585,-80.6094,15.8,92,90,16.11,snow
